                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0621,                 1.0024,                 1.2036,                0.92605,                0.81939,                0.92341,                0.58383,                 1.2612,                 0.8394,                 1.4499,             0.00081001,             0.00081001,             0.00081001
                     36,                 1.0856,                0.97642,                 1.2185,                0.86627,                0.78415,                0.87504,                0.50236,                 1.4714,                0.93161,                 1.5659,             0.00080701,             0.00080701,             0.00080701
                     37,                 1.0816,                 1.0148,                 1.2075,                0.76132,                0.69931,                0.81425,                0.52095,                 1.3062,                 1.1639,                 1.3901,             0.00080401,             0.00080401,             0.00080401
                     38,                 1.0452,                0.94048,                 1.2006,                0.81485,                0.84692,                0.90171,                0.61874,                 1.1427,                0.96929,                 1.3508,             0.00080101,             0.00080101,             0.00080101
                     39,                  1.043,                0.95053,                 1.2054,                0.88062,                0.92432,                0.95547,                0.61891,                  1.267,                0.73684,                 1.4549,             0.00079801,             0.00079801,             0.00079801
                     40,                 1.0397,                0.91554,                 1.1983,                  0.905,                0.82163,                0.92633,                0.62275,                 1.1859,                0.90189,                 1.3058,             0.00079501,             0.00079501,             0.00079501
                     41,                 1.0213,                0.95256,                 1.1962,                 0.8811,                0.90747,                0.97109,                0.66693,                 1.1502,                0.73683,                 1.3182,             0.00079201,             0.00079201,             0.00079201
                     42,                 1.0067,                0.91325,                  1.184,                 0.9425,                0.97113,                0.98294,                0.68322,                 1.1127,                0.66198,                 1.3103,             0.00078901,             0.00078901,             0.00078901
                     43,                 1.0079,                0.87641,                 1.1588,                0.91212,                0.91976,                0.95364,                0.63945,                 1.1693,                0.70852,                 1.3172,             0.00078601,             0.00078601,             0.00078601
                     44,                 0.9918,                0.84615,                  1.138,                0.94145,                0.88093,                0.95531,                0.66773,                  1.101,                0.67615,                  1.303,             0.00078301,             0.00078301,             0.00078301
                     45,                 1.0175,                0.88042,                 1.1717,                0.93795,                0.93287,                0.96818,                0.66098,                 1.1918,                0.72607,                 1.3532,             0.00078001,             0.00078001,             0.00078001
                     46,                 0.9871,                0.86364,                 1.1636,                0.91771,                0.89214,                 0.9291,                0.60028,                 1.3407,                0.75593,                  1.456,             0.00077701,             0.00077701,             0.00077701
                     47,                0.99436,                 0.8875,                 1.1546,                 0.9434,                0.92007,                0.97791,                0.67631,                 1.0795,                0.68537,                 1.2994,             0.00077401,             0.00077401,             0.00077401
                     48,                0.99285,                0.86394,                 1.1524,                 0.8815,                0.86655,                0.93518,                0.64454,                 1.1529,                0.73019,                 1.3275,             0.00077101,             0.00077101,             0.00077101
                     49,                0.99831,                0.84362,                 1.1649,                0.88556,                0.92855,                0.95795,                0.68614,                  1.042,                0.69809,                 1.2324,             0.00076801,             0.00076801,             0.00076801
                     50,                0.97864,                0.84801,                 1.1447,                0.89053,                0.89854,                0.95878,                  0.662,                 1.1558,                0.76549,                 1.3078,             0.00076501,             0.00076501,             0.00076501
                     51,                0.95886,                0.82826,                 1.1236,                0.90305,                0.92445,                 0.9492,                0.65466,                 1.1216,                0.69434,                 1.2383,             0.00076201,             0.00076201,             0.00076201
                     52,                 0.9509,                0.79352,                 1.1239,                  0.951,                0.89846,                0.97044,                0.68486,                 1.0506,                0.61751,                 1.2411,             0.00075902,             0.00075902,             0.00075902
                     53,                0.96492,                0.81224,                 1.1412,                0.85426,                 0.9266,                0.95392,                0.64551,                 1.1215,                0.74574,                 1.2738,             0.00075602,             0.00075602,             0.00075602
                     54,                0.96201,                0.78518,                 1.1498,                0.92343,                 0.8569,                0.94583,                 0.6898,                0.98885,                0.64761,                 1.2289,             0.00075302,             0.00075302,             0.00075302
                     55,                0.95397,                0.78705,                 1.1299,                0.94058,                0.92555,                0.95168,                0.64411,                 1.1532,                0.68749,                 1.2915,             0.00075002,             0.00075002,             0.00075002
                     56,                0.93063,                0.78519,                  1.112,                0.88223,                0.89705,                0.93721,                 0.6767,                 1.0739,                0.71538,                 1.2459,             0.00074702,             0.00074702,             0.00074702
                     57,                0.91864,                0.78119,                 1.1037,                0.88011,                0.82754,                0.91901,                0.63497,                 1.1419,                0.85288,                 1.2848,             0.00074402,             0.00074402,             0.00074402
                     58,                0.93974,                0.78716,                 1.1309,                0.90622,                0.89725,                0.93437,                0.68509,                 1.1151,                 0.6602,                 1.2777,             0.00074102,             0.00074102,             0.00074102
                     59,                0.90684,                0.76647,                 1.1069,                0.87495,                 0.8689,                0.89153,                0.58698,                 1.2633,                0.77444,                  1.353,             0.00073802,             0.00073802,             0.00073802
                     60,                0.89324,                0.72803,                 1.1012,                0.85832,                0.77407,                0.86401,                0.59196,                 1.1692,                0.93294,                 1.3512,             0.00073502,             0.00073502,             0.00073502
                     61,                0.92363,                 0.7639,                 1.1073,                0.92089,                0.91492,                0.92899,                0.65644,                 1.1001,                0.64755,                 1.3396,             0.00073202,             0.00073202,             0.00073202
                     62,                0.91021,                0.75076,                 1.1105,                0.90231,                0.92043,                0.94989,                0.67841,                  1.087,                0.62917,                 1.2796,             0.00072902,             0.00072902,             0.00072902
                     63,                0.90281,                0.75884,                 1.0949,                 0.9759,                0.90661,                0.97645,                0.70662,                0.99844,                0.58232,                 1.2258,             0.00072602,             0.00072602,             0.00072602
                     64,                 0.9296,                0.76524,                 1.1211,                0.92683,                0.91061,                0.95163,                0.67921,                 1.1361,                0.58596,                 1.3196,             0.00072302,             0.00072302,             0.00072302
                     65,                0.90192,                0.74805,                 1.1063,                0.92658,                0.94856,                0.97272,                0.68996,                 1.0878,                0.60827,                  1.265,             0.00072002,             0.00072002,             0.00072002
                     66,                 0.8876,                0.72796,                 1.0803,                0.91405,                0.94495,                0.97294,                0.66872,                 1.0834,                0.63378,                  1.223,             0.00071702,             0.00071702,             0.00071702
                     67,                0.88688,                 0.7367,                 1.0953,                0.88967,                0.96258,                0.98122,                 0.6956,                 1.0712,                 0.6182,                 1.2469,             0.00071402,             0.00071402,             0.00071402
                     68,                0.87106,                0.70627,                 1.0916,                0.90794,                0.90697,                0.97008,                0.70014,                 1.0114,                0.61042,                 1.2073,             0.00071102,             0.00071102,             0.00071102
                     69,                0.86789,                0.69859,                 1.0944,                0.87808,                0.95426,                0.95847,                0.67741,                 1.0948,                0.57351,                 1.2678,             0.00070802,             0.00070802,             0.00070802
